A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
222	848	-314	-21.1925	23.52	-0.7525
208	847	-329	-14.1838	16.5813	7.62125
243	888	-350	-10.3863	11.0688	11.0688
268	902	-341	-8.16375	6.755	12.2763
308	1036	-335	-5.38125	-0.98875	12.2938
384	1104	-307	-7.105	-7.95375	10.9988
344	1127	-229	-11.8388	-8.12	6.18625
410	1043	-134	-14.91	-6.195	-1.4875
347	902	-83	-15.3213	-6.1075	-3.115
261	905	-55	-17.3163	-0.455	8.1025
217	891	-67	-10.0275	-6.055	17.0975
211	770	-111	0.385	-19.915	12.0225
268	759	-164	10.7013	-33.5038	-4.4275
289	798	-195	22.575	-36.8375	-15.3913
235	829	-223	27.055	-24.9375	-8.785
236	889	-249	23.9838	-11.2963	4.935
238	923	-257	19.0225	-5.2675	14.1313
229	946	-260	12.6088	-3.3425	18.095
226	933	-261	6.475	-3.675	17.5438
231	951	-288	4.795	-2.345	16.2925
219	1007	-356	7.67375	1.42625	16.3188
327	1244	-465	10.3688	4.4625	13.2738
205	1115	-526	12.6088	6.37875	6.79
52	915	-510	13.3788	9.72125	1.12
187	929	-487	21.3238	6.755	0.81375
