#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
10395464032,119,-33,816,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10395503550,82,-68,813,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10395542981,101,-66,966,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10395582296,150,-21,1164,,,,,,,,,,0x00e,,,,,,,,,,,,,,,,,,,,,,,,,,
10395621721,195,1,1324,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10395662799,174,86,1300,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10395702000,119,65,1047,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10395741749,100,48,846,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
10395780948,101,-2,712,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10395820844,110,-53,648,,,,,,,,,,0x029,,,,,,,,,,,,,,,,,,,,,,,,,,
10395860050,68,-104,680,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10395899567,127,-100,980,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10395940880,192,-4,1277,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10395980078,181,81,1351,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10396019500,155,53,1240,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10396059025,163,57,1146,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10396098225,164,25,1024,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10396137973,145,-21,851,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
10396177170,110,-40,695,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10396218466,90,-49,681,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10396257673,53,-14,780,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10396297188,127,-75,995,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10396336619,229,-70,1266,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10396376136,277,48,1425,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10396415336,244,11,1306,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10396455086,206,9,1092,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
10396495839,154,-19,882,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10396535589,135,-70,747,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
