accX[g],accY[g],accZ[g]
0.001,0.065,-0.833
-0.099,0.146,-0.813
-0.111,0.283,-0.835
-0.071,0.35,-0.873
-0.084,0.309,-1.024
-0.079,0.172,-1.085
-0.185,0.048,-1.385
-0.092,-0.095,-0.882
-0.16,-0.089,-1.04
-0.103,-0.089,-0.937
-0.15,-0.096,-0.892
-0.073,-0.04,-0.864
-0.032,0.02,-0.909
0.044,0.028,-0.899
0.125,0.047,-1.06
0.067,0.071,-1.048
0.158,0.112,-1.159
0.104,0.065,-1.097
0.037,0.031,-1.094
-0.045,0.052,-0.943
-0.094,0.099,-0.863
-0.127,0.176,-0.875
-0.193,0.137,-0.909
-0.123,0.094,-0.907
-0.035,0.111,-0.949
-0.048,0.159,-1.062
-0.122,0.049,-1.039
-0.002,0.011,-0.997
-0.149,-0.084,-0.885
-0.144,-0.065,-0.899
-0.186,-0.027,-0.931
-0.146,-0.031,-0.867
-0.128,0.03,-0.754
-0.032,0.016,-0.739
-0.041,-0.058,-0.77
-0.079,0.034,-0.722
-0.055,-0.103,-0.608
0.089,-0.067,-0.697
-0.098,-0.092,-0.872
-0.083,-0.097,-0.908
-0.034,-0.056,-1.004
-0.039,-0.022,-1.156
-0.039,-0.143,-1.185
-0.073,-0.148,-1.369
-0.04,-0.185,-1.417
-0.049,-0.203,-1.296
-0.059,-0.015,-1.321
0.012,-0.082,-1.164
0.039,0.023,-1.154
0.046,-0.051,-1.084
-0.018,-0.051,-1.132
-0.123,-0.329,-0.733
-0.029,0.213,-1.222
-0.016,0.052,-1.051
0.027,-0.133,-0.933
0.015,-0.044,-0.977
0.004,-0.027,-1.001
-0.01,-0.069,-0.985
-0.012,-0.045,-0.998
-0.014,-0.061,-0.989
-0.01,-0.05,-0.996
-0.012,-0.055,-0.993
-0.012,-0.055,-0.992
-0.012,-0.053,-0.993
-0.013,-0.055,-0.993
-0.012,-0.054,-0.993
-0.012,-0.055,-0.993
-0.012,-0.055,-0.992
-0.012,-0.055,-0.993
-0.012,-0.054,-0.993
-0.012,-0.054,-0.993
-0.012,-0.055,-0.992
-0.012,-0.054,-0.992
-0.013,-0.054,-0.992
0.672,-0.21,-1.451
-0.03,-0.358,-1.16
0.076,-0.452,-1.491
-0.07,-0.437,-1.357
-0.08,-0.23,-1.418
-0.106,-0.298,-1.228
-0.057,-0.228,-1.081
-0.122,-0.108,-1.029
0.059,-0.21,-0.757
0.004,-0.084,-0.72
0.008,-0.093,-0.709
0.093,-0.089,-0.556
0.113,-0.056,-0.606
0.136,0.005,-0.654
0.187,-0.08,-0.681
0.118,0.026,-0.868
0.134,-0.101,-0.927
0.148,0.0,-1.113
